ID_datospoblacion;Estrato;Distrito;GV Descripción 2;Población;Origen;Zona;Fuente
826;3;8018228N3;CONVERTIA BOGOTA;PUERTO COLOMBIA;SAC;801822;PR
1401;3;8018228N3;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1614;3;8018228N3;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
2514;3;8018228N3;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2906;3;8018228N3;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
3035;4;8018228N3;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
375;1;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
399;3;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
477;5;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
852;5;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
866;1;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
904;3;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1068;6;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
1310;2;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1446;5;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
1513;2;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
2067;4;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2417;6;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;VENTAS DIGITALES;801822;PR
2737;3;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2741;4;8018228N1;CONVERTIA NOROCCIDENTE;BARRANQUILLA;SAC;801822;PR
2746;6;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
2904;6;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
3132;4;8018228N1;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801822;PR
925;1;8018198GI;CONVERTIA NOROCCIDENTE;URIBIA;SAC;801819;PR
1303;1;8018198GI;CONVERTIA BOGOTA;MANAURE;SAC;801819;PR
1520;1;8018198GI;CONVERTIA BOGOTA;MAICAO;SAC;801819;PR
1777;1;8018198GI;CONVERTIA BOGOTA;MAICAO;SAC;801819;PR
2499;1;8018178A6;CONVERTIA BOGOTA;BARRANQUILLA;SAC;801817;PR
397;1;8018178A5;CONVERTIA BOGOTA;SOLEDAD;SAC;801817;PR
2289;1;8018178A5;CONVERTIA BOGOTA;SOLEDAD;SAC;801817;PR
1806;1;8018178A4;CONVERTIA BOGOTA;JUAN DE ACOSTA;SAC;801817;PR
2881;1;8018178A4;CONVERTIA BOGOTA;PUERTO COLOMBIA;SAC;801817;PR
908;1;8018148C3;CONVERTIA BOGOTA;VALLEDUPAR;SAC;801814;PR
315;3;8018148C2;CONVERTIA BOGOTA;VALLEDUPAR;SAC;801814;PR
1081;1;8018148C2;CONVERTIA BOGOTA;VALLEDUPAR;VENTAS DIGITALES;801814;PR
2754;2;8018148C2;CONVERTIA BOGOTA;VALLEDUPAR;SAC;801814;PR
2945;2;8018148C2;CONVERTIA BOGOTA;VALLEDUPAR;SAC;801814;PR
3257;1;8018148C2;CONVERTIA BOGOTA;VALLEDUPAR;SAC;801814;PR
218;2;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;VENTAS DIGITALES;801813;PR
928;3;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
929;2;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
1072;2;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;VENTAS DIGITALES;801813;PR
1123;2;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;UG
1683;3;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;VENTAS DIGITALES;801813;PR
1895;3;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
2407;1;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
2744;2;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;AD
2877;2;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
3172;2;8018138M3;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
642;3;8018138M2;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
3145;1;8018138M2;CONVERTIA NOROCCIDENTE;SANTA MARTA;SAC;801813;PR
600;3;8018138M1;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
732;4;8018138M1;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
1219;3;8018138M1;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
1312;3;8018138M1;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
1808;2;8018138M1;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
2231;6;8018138M1;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
2512;4;8018138M1;CONVERTIA BOGOTA;SANTA MARTA;VENTAS DIGITALES;801813;PR
2696;3;8018138M1;CONVERTIA BOGOTA;SANTA MARTA;SAC;801813;PR
65;3;8018138J1;CONVERTIA BOGOTA;RIOHACHA;SAC;801813;AD
176;1;8018138J1;CONVERTIA BOGOTA;RIOHACHA;SAC;801813;PR
419;1;8018138J1;CONVERTIA BOGOTA;RIOHACHA;SAC;801813;PR
1090;2;8018138J1;CONVERTIA BOGOTA;RIOHACHA;SAC;801813;PR
1191;2;8018138J1;CONVERTIA BOGOTA;RIOHACHA;SAC;801813;PR
1516;2;8018138J1;CONVERTIA BOGOTA;RIOHACHA;SAC;801813;PR
1767;2;8018138J1;CONVERTIA BOGOTA;RIOHACHA;SAC;801813;PR
2356;2;8018138J1;CONVERTIA BOGOTA;RIOHACHA;VENTAS DIGITALES;801813;PR
2924;3;8018138J1;CONVERTIA BOGOTA;RIOHACHA;VENTAS DIGITALES;801813;PR
3034;2;8018138J1;CONVERTIA BOGOTA;RIOHACHA;VENTAS DIGITALES;801813;PR
3147;1;8018138J1;CONVERTIA NOROCCIDENTE;RIOHACHA;VENTAS DIGITALES;801813;PR
3153;3;8018138J1;CONVERTIA BOGOTA;RIOHACHA;VENTAS DIGITALES;801813;PR
3213;1;8018138J1;CONVERTIA BOGOTA;RIOHACHA;SAC;801813;PR
2232;2;6066656PH;CONVERTIA BOGOTA;SAN ANTONIO DE PRADO;SAC;606665;PR
1948;1;6066656MH;CONVERTIA BOGOTA;SANTA ROSA DE OSOS;SAC;606665;PR
548;2;6066656MB;CONVERTIA BOGOTA;BARBOSA;SAC;606665;PR
2291;2;6066656MB;CONVERTIA BOGOTA;BARBOSA;SAC;606665;PR
2619;2;6066656MB;CONVERTIA BOGOTA;GIRARDOTA;SAC;606665;PR
1127;2;6066656CO;CONVERTIA BOGOTA;COPACABANA;SAC;606665;PR
1423;3;6066656CO;CONVERTIA BOGOTA;COPACABANA;SAC;606665;PR
2094;2;6066656CO;CONVERTIA BOGOTA;COPACABANA;SAC;606665;PR
2446;4;6066656CO;CONVERTIA BOGOTA;COPACABANA;SAC;606665;PR
2517;2;6066656CO;CONVERTIA BOGOTA;COPACABANA;SAC;606665;PR
2629;2;6066656CO;CONVERTIA BOGOTA;COPACABANA;SAC;606665;PR
2733;2;6066656CO;CONVERTIA BOGOTA;COPACABANA;SAC;606665;PR
2951;2;6066656CO;CONVERTIA BOGOTA;COPACABANA;SAC;606665;PR
18;2;6066656CE;CONVERTIA NOROCCIDENTE;LA ESTRELLA;SAC;606665;PR
189;2;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
245;4;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
347;3;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
366;3;6066656CE;CONVERTIA BOGOTA;CALDAS;SAC;606665;PR
537;4;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
593;2;6066656CE;CONVERTIA BOGOTA;CALDAS;SAC;606665;PR
626;3;6066656CE;CONVERTIA NOROCCIDENTE;LA ESTRELLA;VENTAS DIGITALES;606665;PR
823;2;6066656CE;CONVERTIA NOROCCIDENTE;LA ESTRELLA;SAC;606665;PR
824;5;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
962;2;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
1119;4;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
1253;3;6066656CE;CONVERTIA BOGOTA;CALDAS;SAC;606665;PR
1262;4;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
1318;3;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
1362;3;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
1620;3;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
2223;2;6066656CE;CONVERTIA BOGOTA;LA ESTRELLA;SAC;606665;PR
